5대범죄,시군구명,id,합계,살인,강도,강간강제추행,절도,폭력,slat,slong
종로구,종로구,11110,3846,4,7,238,1515,2082,37.59560119,126.9765432
중구,중구,11140,4327,2,6,195,2202,1922,37.56041379,126.9951094
용산구,용산구,11170,3313,3,3,272,999,2036,37.53173196,126.9794739
성동구,성동구,11200,2512,6,9,133,970,1394,37.55194209,127.0395496
광진구,광진구,11215,4011,4,6,273,1875,1853,37.54643922,127.0858896
동대문구,동대문구,11230,3692,6,10,168,1531,1977,37.58252417,127.0550644
중랑구,중랑구,11260,4268,10,4,138,1666,2450,37.59870008,127.0930346
성북구,성북구,11290,2877,3,3,176,1082,1613,37.60581637,127.0172983
강북구,강북구,11305,3838,6,3,176,1229,2424,37.63963685,127.0093564
도봉구,도봉구,11320,2110,1,5,90,790,1224,37.66901948,127.0320271
노원구,노원구,11350,4153,4,3,184,1498,2464,37.65302049,127.075305
은평구,은평구,11380,3880,3,1,194,1565,2117,37.61944908,126.9263305
서대문구,서대문구,11410,2943,2,5,175,1226,1535,37.57828751,126.9387115
마포구,마포구,11440,4842,2,2,495,2190,2153,37.55981511,126.9078803
양천구,양천구,11470,3214,6,2,127,1477,1602,37.52497448,126.8554428
강서구,강서구,11500,4924,8,3,306,2050,2557,37.56154709,126.824126
구로구,구로구,11530,4707,10,3,226,1916,2552,37.49435519,126.8559284
금천구,금천구,11545,3105,6,10,153,1157,1779,37.46102559,126.9003545
영등포구,영등포구,11560,5820,10,3,356,2409,3042,37.52285657,126.9105507
동작구,동작구,11590,3400,4,1,251,1328,1816,37.49917037,126.9515781
관악구,관악구,11620,5328,13,10,408,2223,2674,37.46796245,126.9450234
서초구,서초구,11650,5542,5,7,616,2270,2644,37.47393535,127.0307198
강남구,강남구,11680,7304,5,5,666,2970,3658,37.49666651,127.0630076
송파구,송파구,11710,5698,7,10,273,2416,2992,37.50514077,127.1154451
강동구,강동구,11740,4014,6,15,180,1650,2163,37.55019225,127.1470046
